Order Priority,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Region,State or Province,City,Order Date,Ship Date,Quantity ,Order ID
Not Specified,11.5,7.19,1485,Wayne Sutherland,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Ibico Covers for Plastic or Wire Binding Elements,Central,Illinois,Downers Grove,20/08/2010,23/08/2010,14,91236
Not Specified,15.7,11.25,1485,Wayne Sutherland,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,Hanging Personal Folder File,Central,Illinois,Downers Grove,20/08/2010,21/08/2010,1,91236
Not Specified,225.02,28.66,1485,Wayne Sutherland,Delivery Truck,Home Office,Office Supplies,Storage & Organization,Jumbo Drum,Tennsco Double-Tier Lockers,Central,Illinois,Downers Grove,20/08/2010,22/08/2010,21,91236
Not Specified,65.99,8.99,1485,Wayne Sutherland,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,8260,Central,Illinois,Downers Grove,07/06/2013,08/06/2013,4,91238
Medium,65.99,8.99,1486,Stacy Barbour,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,Talkabout T8367,Central,Indiana,Merrillville,25/09/2011,26/09/2011,17,86472
Critical,128.24,12.65,1486,Stacy Barbour,Express Air,Home Office,Furniture,Chairs & Chairmats,Medium Box,SAFCO Folding Chair Trolley,Central,Indiana,Merrillville,25/08/2012,27/08/2012,18,86474
Critical,29.89,1.99,1487,Joshua Lancaster,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Central,Indiana,Michigan City,03/05/2011,03/05/2011,9,86471
Medium,180.98,55.24,1487,Joshua Lancaster,Delivery Truck,Home Office,Office Supplies,Appliances,Jumbo Drum,Avanti 4.4 Cu. Ft. Refrigerator,Central,Indiana,Michigan City,13/06/2012,15/06/2012,18,86473
Not Specified,8.01,2.87,1487,Joshua Lancaster,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Central,Indiana,Michigan City,26/09/2012,26/09/2012,23,86475
Not Specified,4.98,5.02,1487,Joshua Lancaster,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1989,Central,Indiana,Michigan City,26/09/2012,27/09/2012,14,86475
Critical,29.89,1.99,1488,Anthony Goodwin,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",East,New York,New York City,03/05/2011,03/05/2011,35,8131
Medium,65.99,8.99,1488,Anthony Goodwin,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,Talkabout T8367,East,New York,New York City,25/09/2011,26/09/2011,69,773
Medium,180.98,55.24,1488,Anthony Goodwin,Delivery Truck,Home Office,Office Supplies,Appliances,Jumbo Drum,Avanti 4.4 Cu. Ft. Refrigerator,East,New York,New York City,13/06/2012,15/06/2012,73,30048
Critical,128.24,12.65,1488,Anthony Goodwin,Express Air,Home Office,Furniture,Chairs & Chairmats,Medium Box,SAFCO Folding Chair Trolley,East,New York,New York City,25/08/2012,27/08/2012,73,5153
Not Specified,8.01,2.87,1488,Anthony Goodwin,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,"TOPS Money Receipt Book, Consecutively Numbered in Red,",East,New York,New York City,26/09/2012,26/09/2012,94,58947
Not Specified,4.98,5.02,1488,Anthony Goodwin,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1989,East,New York,New York City,26/09/2012,27/09/2012,55,58947
Critical,167.27,35,1490,Leslie Duffy,Regular Air,Corporate,Office Supplies,Storage & Organization,Large Box,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,West,California,Pacifica,13/11/2011,15/11/2011,33,88006
Low,8.56,5.16,1490,Leslie Duffy,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",West,California,Pacifica,06/07/2012,08/07/2012,10,88007
High,2.52,4.28,1490,Leslie Duffy,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,"Binney & Smith inkTank™ Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",West,California,Pacifica,28/08/2012,30/08/2012,8,88008
Not Specified,6.54,5.27,1490,Leslie Duffy,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones® Four-Pocket Poly Binders,West,California,Pacifica,11/09/2012,12/09/2012,8,88009
Critical,40.99,8.97,1490,Leslie Duffy,Regular Air,Corporate,Technology,Office Machines,Small Box,AT&T 1430 2.4GHz Analog Phone w/Caller ID,West,California,Pacifica,03/11/2012,04/11/2012,11,88010
Low,13.4,4.95,1490,Leslie Duffy,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,West,California,Pacifica,10/01/2013,14/01/2013,7,88011
Medium,110.99,2.5,1490,Leslie Duffy,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,T18,West,California,Pacifica,07/03/2013,08/03/2013,3,88012
Medium,20.24,8.99,1491,Katherine Mills,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,"DAX Metal Frame, Desktop, Stepped-Edge",South,Florida,Palm Coast,07/03/2013,10/03/2013,10,88012
Medium,27.75,19.99,1491,Katherine Mills,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer®,South,Florida,Palm Coast,07/03/2013,08/03/2013,1,88012
High,119.99,14,1492,Don Beard,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Epson C82 Color Inkjet Printer,Central,Missouri,Ozark,16/12/2010,18/12/2010,6,88004
Critical,70.98,26.74,1492,Don Beard,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,"Hon Metal Bookcases, Black",Central,Missouri,Ozark,07/02/2011,09/02/2011,3,88005
Not Specified,100.98,15.66,1492,Don Beard,Delivery Truck,Corporate,Office Supplies,Appliances,Jumbo Drum,Avanti 1.7 Cu. Ft. Refrigerator,Central,Missouri,Ozark,30/10/2013,30/10/2013,25,88013
Not Specified,7.35,5.96,1492,Don Beard,Regular Air,Corporate,Office Supplies,Paper,Small Box,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",Central,Missouri,Ozark,30/10/2013,01/11/2013,12,88013
Not Specified,40.99,17.48,1492,Don Beard,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1893,Central,Missouri,Ozark,30/10/2013,31/10/2013,10,88013
Critical,8.37,10.16,1494,Kate Lehman,Regular Air,Corporate,Furniture,Office Furnishings,Large Box,Westinghouse Clip-On Gooseneck Lamps,East,Maryland,Dundalk,11/09/2010,13/09/2010,18,85880
Critical,6.48,9.17,1494,Kate Lehman,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1996,East,Maryland,Dundalk,11/09/2010,13/09/2010,6,85880
Not Specified,5.98,5.15,1494,Kate Lehman,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 193,East,Maryland,Dundalk,03/12/2011,04/12/2011,7,85881
High,79.52,48.2,1494,Kate Lehman,Regular Air,Home Office,Furniture,Office Furnishings,Medium Box,Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets,East,Maryland,Dundalk,28/04/2012,30/04/2012,1,85885
High,125.99,5.99,1494,Kate Lehman,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,i600,East,Maryland,Dundalk,28/04/2012,28/04/2012,1,85885
High,376.13,85.63,1494,Kate Lehman,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,Bretford Rectangular Conference Table Tops,East,Maryland,Dundalk,04/08/2012,06/08/2012,11,85888
Low,43.41,2.99,1494,Kate Lehman,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Satellite Sectional Post Binders,East,Maryland,Dundalk,12/06/2013,12/06/2013,1,85891
Not Specified,33.29,1.99,1494,Kate Lehman,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,Verbatim 4.7GB DVD-R,East,Maryland,Dundalk,26/06/2013,28/06/2013,7,85892
Critical,70.97,3.5,1495,Theodore Petty,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,West,Montana,Kalispell,29/01/2012,30/01/2012,3,85884
Critical,5.34,2.99,1495,Theodore Petty,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,West,Montana,Kalispell,29/01/2012,30/01/2012,11,85884
High,5.98,5.46,1495,Theodore Petty,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1983,West,Montana,Kalispell,20/05/2012,22/05/2012,6,85886
Medium,4.98,4.62,1495,Theodore Petty,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",West,Montana,Kalispell,12/07/2012,14/07/2012,10,85887
Medium,7.64,5.83,1495,Theodore Petty,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",West,Montana,Kalispell,12/07/2012,13/07/2012,3,85887
Low,1.86,2.58,1496,Milton Phillips,Regular Air,Home Office,Office Supplies,Rubber Bands,Wrap Bag,"Super Bands, 12/Pack",East,New York,East Meadow,17/12/2011,22/12/2011,22,85882
Low,205.99,5.99,1496,Milton Phillips,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,3285,East,New York,East Meadow,17/12/2011,22/12/2011,21,85882
Critical,6.28,5.29,1497,Gloria Jacobs,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,"Eldon® 200 Class™ Desk Accessories, Burgundy",East,New York,Elmira,11/09/2010,12/09/2010,2,85880
Critical,15.14,4.53,1497,Gloria Jacobs,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Eldon® Gobal File Keepers,East,New York,Elmira,11/09/2010,13/09/2010,17,85880
High,167.27,35,1497,Gloria Jacobs,Regular Air,Home Office,Office Supplies,Storage & Organization,Large Box,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,East,New York,Elmira,20/12/2011,23/12/2011,20,85883
High,400.98,42.52,1497,Gloria Jacobs,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,Bretford CR8500 Series Meeting Room Furniture,East,New York,Elmira,20/12/2011,22/12/2011,15,85883
High,205.99,2.79,1497,Gloria Jacobs,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,ELITE Series,East,New York,Elmira,20/12/2011,23/12/2011,15,85883
Low,5.38,7.57,1497,Gloria Jacobs,Express Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",East,New York,Elmira,23/01/2013,30/01/2013,13,85889
Medium,15.16,15.09,1497,Gloria Jacobs,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",East,New York,Elmira,08/02/2013,09/02/2013,10,85890
Medium,2.16,6.05,1499,Charlotte L Doyle,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Peel & Stick Add-On Corner Pockets,South,Florida,Coral Gables,04/02/2010,05/02/2010,8,90731
Medium,6.48,6.6,1499,Charlotte L Doyle,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 21,South,Florida,Coral Gables,04/02/2010,05/02/2010,9,90731
Medium,146.05,80.2,1499,Charlotte L Doyle,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,BPI Conference Tables,South,Florida,Coral Gables,04/02/2010,05/02/2010,11,90731
Low,45.19,1.99,1499,Charlotte L Doyle,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",South,Florida,Coral Gables,06/10/2011,13/10/2011,16,90732
Medium,363.25,19.99,1500,Miriam Francis,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Hoover WindTunnel™ Plus Canister Vacuum,South,Florida,Coral Springs,05/06/2013,07/06/2013,5,90733
High,8.74,8.29,1500,Miriam Francis,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",South,Florida,Coral Springs,31/10/2013,31/10/2013,26,90734
Critical,3.69,0.5,1502,Renee Huang,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 487,South,Florida,Coral Springs,07/11/2010,10/11/2010,38,89193
Low,5.84,1,1502,Renee Huang,Express Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Quartet Omega® Colored Chalk, 12/Pack",South,Florida,Coral Springs,29/12/2010,03/01/2011,11,89194
Low,205.99,8.99,1502,Renee Huang,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 8000,South,Florida,Coral Springs,29/12/2010,02/01/2011,13,89194
Low,152.48,6.5,1502,Renee Huang,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Adesso Programmable 142-Key Keyboard,South,Florida,Coral Springs,16/10/2012,16/10/2012,8,89196
Low,4.98,7.28,1502,Renee Huang,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1926,South,Florida,Coral Springs,16/10/2012,21/10/2012,14,89196
Low,19.99,11.17,1503,Leo Riley,Regular Air,Small Business,Furniture,Office Furnishings,Large Box,Telescoping Adjustable Floor Lamp,Central,Illinois,Country Club Hills,04/06/2012,06/06/2012,1,89195
High,300.98,64.73,1503,Leo Riley,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Leather and Oak Executive Chair, Black",Central,Illinois,Country Club Hills,30/12/2012,01/01/2013,12,89197
High,500.98,26,1503,Leo Riley,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,Central,Illinois,Country Club Hills,30/12/2012,02/01/2013,11,89197
High,45.19,1.99,1503,Leo Riley,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Central,Illinois,Country Club Hills,30/12/2012,31/12/2012,9,89197
Not Specified,2.61,0.5,1503,Leo Riley,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 479,Central,Illinois,Country Club Hills,16/07/2013,19/07/2013,12,89198
Low,85.99,0.99,1505,Kay Schultz,Regular Air,Small Business,Technology,Telephones and Communication,Wrap Bag,Accessory4,Central,Texas,College Station,13/06/2010,18/06/2010,6,86181
Low,9.65,6.22,1505,Kay Schultz,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Central,Texas,College Station,08/03/2011,15/03/2011,1,86182
Not Specified,6.45,1.34,1505,Kay Schultz,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",Central,Texas,College Station,16/03/2013,17/03/2013,3,86183
Low,12.97,1.49,1507,Bonnie Hampton,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",East,Ohio,Euclid,27/02/2011,04/03/2011,2,88377
Low,110.99,2.5,1507,Bonnie Hampton,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,T18,East,Ohio,Euclid,27/02/2011,03/03/2011,2,88377
High,259.71,66.67,1507,Bonnie Hampton,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,"Bevis Round Bullnose 29"" High Table Top",East,Ohio,Euclid,07/07/2011,09/07/2011,2,88378
Medium,100.98,15.66,1507,Bonnie Hampton,Delivery Truck,Small Business,Office Supplies,Appliances,Jumbo Drum,Avanti 1.7 Cu. Ft. Refrigerator,East,Ohio,Euclid,07/12/2011,09/12/2011,1,88379
Medium,89.99,42,1507,Bonnie Hampton,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Leather Task Chair, Black",East,Ohio,Euclid,07/12/2011,08/12/2011,6,88379
Low,110.98,13.99,1509,Brent Graves,Regular Air,Corporate,Furniture,Office Furnishings,Medium Box,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Central,Indiana,Michigan City,10/09/2013,12/09/2013,17,90308
Low,2.18,5,1509,Brent Graves,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,*Staples* Letter Opener,Central,Indiana,Michigan City,10/09/2013,12/09/2013,14,90308
Critical,60.22,3.5,1510,Gayle Lawson,Regular Air,Corporate,Office Supplies,Appliances,Small Box,"Fellowes Smart Surge Ten-Outlet Protector, Platinum",Central,Indiana,Mishawaka,05/05/2011,07/05/2011,16,90305
Critical,199.99,24.49,1510,Gayle Lawson,Regular Air,Corporate,Technology,Copiers and Fax,Large Box,Canon PC-428 Personal Copier,Central,Indiana,Mishawaka,05/05/2011,07/05/2011,8,90305
High,30.98,5.76,1510,Gayle Lawson,Regular Air,Corporate,Office Supplies,Paper,Small Box,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Central,Indiana,Mishawaka,12/05/2011,13/05/2011,3,90306
High,19.98,8.68,1510,Gayle Lawson,Regular Air,Corporate,Office Supplies,Paper,Small Box,Southworth 25% Cotton Premium Laser Paper and Envelopes,Central,Indiana,Mishawaka,12/05/2011,13/05/2011,12,90306
Low,699.99,24.49,1510,Gayle Lawson,Regular Air,Corporate,Technology,Copiers and Fax,Large Box,Canon PC1060 Personal Laser Copier,Central,Indiana,Mishawaka,10/09/2013,15/09/2013,5,90308
Low,110.99,8.99,1510,Gayle Lawson,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,LX 677,Central,Indiana,Mishawaka,10/09/2013,14/09/2013,13,90308
Critical,20.98,1.49,1511,Joseph Dawson,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Avery Legal 4-Ring Binder,Central,Indiana,Muncie,22/12/2010,24/12/2010,14,90303
High,10.68,13.04,1511,Joseph Dawson,Regular Air,Corporate,Furniture,Office Furnishings,Large Box,Dana Swing-Arm Lamps,Central,Indiana,Muncie,11/08/2013,13/08/2013,3,90307
High,110.98,13.99,1511,Joseph Dawson,Regular Air,Corporate,Furniture,Office Furnishings,Medium Box,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Central,Indiana,Muncie,11/08/2013,13/08/2013,13,90307
High,105.98,13.99,1511,Joseph Dawson,Regular Air,Corporate,Furniture,Office Furnishings,Medium Box,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Central,Indiana,Muncie,11/08/2013,12/08/2013,25,90307
High,6.68,6.93,1511,Joseph Dawson,Regular Air,Corporate,Office Supplies,Paper,Small Box,HP Office Paper (20Lb. and 87 Bright),Central,Indiana,Muncie,11/08/2013,12/08/2013,19,90307
Critical,280.98,57,1512,Lawrence Koch,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Central,Indiana,New Albany,12/02/2011,13/02/2011,4,90304
Critical,9.99,11.59,1512,Lawrence Koch,Regular Air,Corporate,Office Supplies,Paper,Small Box,Hammermill Color Copier Paper (28Lb. and 96 Bright),Central,Indiana,New Albany,12/02/2011,12/02/2011,11,90304
Low,50.98,14.19,1514,Gregory Bridges,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Deluxe Stacking Chair, Gray",Central,Illinois,Downers Grove,23/02/2013,01/03/2013,7,90467
Low,124.49,51.94,1514,Gregory Bridges,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,Central,Illinois,Downers Grove,23/02/2013,01/03/2013,9,90467
Medium,5.81,8.49,1514,Gregory Bridges,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Fellowes Black Plastic Comb Bindings,Central,Illinois,Downers Grove,23/03/2013,24/03/2013,1,90468
Low,22.38,15.1,1515,Glenn MacDonald,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Flip-Chart Easel Binder, Black",Central,Illinois,East Saint Louis,23/02/2013,03/03/2013,4,90467
Critical,90.97,28,1517,Louise Powell Dillon,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Drum,Lexmark Z55se Color Inkjet Printer,East,Connecticut,Southbury,10/11/2013,12/11/2013,24,89960
Critical,114.98,51.42,1518,Sam Raynor,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,Sauder Camden County Collection Library,East,Connecticut,Waterbury,10/11/2013,11/11/2013,14,89960
Critical,55.48,4.85,1519,Randall Boykin,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1888,East,Maine,Auburn,14/12/2010,14/12/2010,19,89957
Critical,140.85,19.99,1520,Lois Barnett,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",East,Massachusetts,Shrewsbury,02/09/2013,03/09/2013,19,89959
Critical,2.12,1.99,1521,Harry McKee,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,Fuji Slim Jewel Case CD-R,East,Massachusetts,Stoughton,10/11/2013,12/11/2013,14,89960
Critical,122.99,70.2,1522,Earl Watts,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,"Global High-Back Leather Tilter, Burgundy",Central,Minnesota,Hopkins,14/12/2010,15/12/2010,17,89957
High,4.13,0.5,1522,Earl Watts,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 506,Central,Minnesota,Hopkins,10/03/2012,10/03/2012,9,89958
Critical,12.21,4.81,1523,Rodney Reed,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,Portable Personal File Box,East,Vermont,Bennington,02/09/2013,02/09/2013,12,89959
High,4.28,6.72,1525,Diana Rosenthal,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1927,South,Alabama,Bessemer,26/12/2011,27/12/2011,7,86818
Low,55.48,14.3,1525,Diana Rosenthal,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 194,South,Alabama,Bessemer,23/08/2013,27/08/2013,4,86823
High,11.34,5.01,1526,Larry Hall,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 188,South,Alabama,Birmingham,10/02/2010,11/02/2010,10,86812
Low,68.81,60,1526,Larry Hall,Delivery Truck,Home Office,Office Supplies,Appliances,Jumbo Drum,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",South,Alabama,Birmingham,10/12/2011,17/12/2011,12,86817
Low,550.98,64.59,1526,Larry Hall,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",South,Alabama,Birmingham,10/12/2011,12/12/2011,11,86817
High,150.98,66.27,1526,Larry Hall,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,Bush Mission Pointe Library,South,Alabama,Birmingham,26/12/2011,28/12/2011,1,86818
High,20.99,4.81,1526,Larry Hall,Regular Air,Small Business,Technology,Telephones and Communication,Medium Box,1726 Digital Answering Machine,South,Alabama,Birmingham,26/12/2011,29/12/2011,11,86818
Medium,48.94,5.86,1526,Larry Hall,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1916,South,Alabama,Birmingham,15/06/2013,16/06/2013,15,86822
Not Specified,60.98,19.99,1526,Larry Hall,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",South,Alabama,Birmingham,28/11/2013,29/11/2013,41,86825
Critical,30.98,8.99,1527,Neil Parker,Express Air,Small Business,Office Supplies,Pens & Art Supplies,Small Pack,"Boston School Pro Electric Pencil Sharpener, 1670",South,Alabama,Decatur,09/07/2010,11/07/2010,5,86813
Low,65.99,5.26,1527,Neil Parker,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,8860,South,Alabama,Decatur,30/09/2010,09/10/2010,23,86814
Low,50.98,6.5,1527,Neil Parker,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,Microsoft Natural Multimedia Keyboard,South,Alabama,Decatur,21/11/2010,28/11/2010,28,86815
Critical,5.84,1.2,1527,Neil Parker,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 312,South,Alabama,Decatur,14/08/2012,15/08/2012,1,86819
Low,4.2,2.26,1527,Neil Parker,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",South,Alabama,Decatur,05/12/2012,12/12/2012,13,86820
Critical,525.98,19.99,1528,Brad Stark,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC DocuBind 300 Electric Binding Machine,South,North Carolina,Eden,09/07/2010,11/07/2010,9,86813
Not Specified,26.31,5.89,1528,Brad Stark,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,"Micro Innovations Micro 3000 Keyboard, Black",South,North Carolina,Eden,09/09/2011,10/09/2011,9,86816
Critical,15.01,8.4,1528,Brad Stark,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",South,North Carolina,Eden,09/06/2013,10/06/2013,16,86821
Not Specified,7.31,0.49,1528,Brad Stark,Regular Air,Home Office,Office Supplies,Labels,Small Box,Self-Adhesive Address Labels for Typewriters by Universal,South,North Carolina,Eden,09/09/2013,09/09/2013,1,86824
High,3502.14,8.73,1530,Seth Sweeney,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Box,Okidata Pacemark 4410N Wide Format Dot Matrix Printer,West,California,Palm Springs,07/07/2012,09/07/2012,1,88853
High,12.28,6.47,1530,Seth Sweeney,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1881,West,California,Palm Springs,04/09/2012,04/09/2012,8,88854
High,65.99,8.8,1530,Seth Sweeney,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,6120,West,California,Palm Springs,04/09/2012,07/09/2012,16,88854
Critical,4.91,0.5,1531,Jon Ayers,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 508,South,Florida,Palm Coast,17/07/2010,18/07/2010,6,88852
High,55.99,1.25,1531,Jon Ayers,Regular Air,Consumer,Technology,Telephones and Communication,Small Pack,Accessory32,South,Florida,Palm Coast,07/07/2012,09/07/2012,8,88853
High,120.98,30,1531,Jon Ayers,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Hon Every-Day® Chair Series Swivel Task Chairs,South,Florida,Palm Coast,01/11/2012,02/11/2012,31,88855
High,209.84,21.21,1531,Jon Ayers,Regular Air,Consumer,Furniture,Office Furnishings,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,South,Florida,Palm Coast,01/11/2012,02/11/2012,12,88855
Medium,17.48,1.99,1531,Jon Ayers,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"Maxell Pro 80 Minute CD-R, 10/Pack",South,Florida,Palm Coast,22/03/2013,24/03/2013,2,88856
High,4.89,4.93,1533,Nicole Reid,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Central,Missouri,University City,06/08/2010,07/08/2010,14,91328
