Order Priority,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Region,State or Province,City,Order Date,Ship Date,Quantity,Order ID,SalesAmountWithoutShipping,SalesAmountWithShipping
Not Specified,3.29,1.35,1646,Eugene Brewer Knox,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Acco® Hot Clips™ Clips to Go,East,New York,Bethpage,2010-09-15,2010-09-17,11,90932,36.19,37.54
Not Specified,1.1400000000000001,0.7000000000000001,1646,Eugene Brewer Knox,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,OIC Thumb-Tacks,East,New York,Bethpage,2013-04-25,2013-04-27,1,90933,1.1400000000000001,1.8400000000000003
Critical,46.89,5.1,1648,Nina Bowles,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Bionaire Personal Warm Mist Humidifier/Vaporizer,Central,Illinois,Woodstock,2010-09-25,2010-09-27,17,91043,797.13,802.23
Critical,12.98,3.14,1648,Nina Bowles,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,"Acme® 8"" Straight Scissors",Central,Illinois,Woodstock,2010-09-25,2010-09-25,18,91043,233.64000000000001,236.78
High,18.99,5.23,1648,Nina Bowles,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Poly Designer Cover & Back,Central,Illinois,Woodstock,2012-10-08,2012-08-13,15,91047,284.84999999999997,290.08
High,218.08,18.06,1648,Nina Bowles,Regular Air,Corporate,Furniture,Chairs & Chairmats,Large Box,"Lifetime Advantage™ Folding Chairs, 4/Carton",Central,Illinois,Woodstock,2012-10-08,2012-11-08,20,91047,4361.6,4379.660000000001
High,20.24,6.67,1648,Nina Bowles,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Central,Illinois,Woodstock,2012-10-08,2012-11-08,3,91047,60.72,67.39
High,2.18,0.78,1648,Nina Bowles,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,Stockwell Push Pins,Central,Illinois,Woodstock,2012-10-08,2012-12-08,15,91047,32.7,33.480000000000004
Critical,48.58,3.99,1649,Roy Hardison,Express Air,Corporate,Office Supplies,Appliances,Small Box,Belkin Premiere Surge Master II 8-outlet surge protector,East,New York,Woodmere,2010-02-24,2010-02-26,3,91041,145.74,149.73000000000002
High,6.48,2.74,1650,Dan Lamm,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"Sony MFD2HD Formatted Diskettes, 10/Pack",South,North Carolina,Asheboro,2010-09-05,2010-09-05,15,91042,97.2,99.94
High,12.53,0.5,1650,Dan Lamm,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 485,South,North Carolina,Asheboro,2010-09-05,2010-10-05,7,91042,87.71,88.21
High,65.99,8.99,1650,Dan Lamm,Express Air,Corporate,Technology,Telephones and Communication,Small Box,i270,South,North Carolina,Asheboro,2010-09-05,2010-11-05,8,91042,527.92,536.91
Medium,6.45,1.34,1650,Dan Lamm,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",South,North Carolina,Asheboro,2011-04-15,2011-04-15,10,91044,64.5,65.84
Not Specified,1.82,1.0,1650,Dan Lamm,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,"Crayola Anti Dust Chalk, 12/Pack",South,North Carolina,Asheboro,2011-04-25,2011-04-26,10,91045,18.2,19.2
Not Specified,286.85,61.76,1650,Dan Lamm,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Riverside Furniture Stanwyck Manor Table Series,South,North Carolina,Asheboro,2012-02-13,2012-02-14,5,91046,1434.25,1496.01
High,6.68,5.41,1650,Dan Lamm,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 195,South,North Carolina,Asheboro,2013-09-05,2013-10-05,14,91048,93.52,98.92999999999999
Medium,35.77,9.02,1651,Toni Larson,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,"IBM Numeric Access II Keypad, 17-Key, Black",West,Washington,Cottage Lake,2011-04-15,2011-04-17,2,91044,71.54,80.56
Not Specified,101.41,35.0,1653,Charles Cline,Express Air,Corporate,Office Supplies,Storage & Organization,Large Box,Tennsco Regal Shelving Units,West,California,Thousand Oaks,2010-07-24,2010-07-25,10,89885,1014.0999999999999,1049.1
Not Specified,95.99,4.9,1653,Charles Cline,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,T60,West,California,Thousand Oaks,2010-07-24,2010-07-25,2,89885,191.98,196.88
Medium,328.14,91.05,1653,Charles Cline,Delivery Truck,Corporate,Office Supplies,Appliances,Jumbo Drum,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",West,California,Thousand Oaks,2011-03-28,2011-03-30,1,89886,328.14,419.19
Critical,5.98,10.39,1653,Charles Cline,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1895,West,California,Thousand Oaks,2011-01-11,2011-01-11,31,89887,185.38000000000002,195.77000000000004
High,2.88,1.49,1653,Charles Cline,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Avery Durable Binders,West,California,Thousand Oaks,2012-10-01,2012-12-01,6,89888,17.28,18.77
High,20.99,0.99,1653,Charles Cline,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory21,West,California,Thousand Oaks,2012-10-01,2012-12-01,14,89888,293.85999999999996,294.84999999999997
Critical,3.98,2.9699999999999998,1654,Bob Jiang,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,Unpadded Memo Slips,West,California,Torrance,2012-10-20,2012-10-23,5,89889,19.9,22.869999999999997
Medium,4.24,5.41,1654,Bob Jiang,Express Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,West,California,Torrance,2013-12-08,2013-12-08,4,89890,16.96,22.37
Medium,1.74,4.08,1654,Bob Jiang,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,"Eldon Regeneration Recycled Desk Accessories, Smoke",West,California,Torrance,2013-10-31,2013-10-31,20,89891,34.8,38.879999999999995
Not Specified,3.85,0.7000000000000001,1654,Bob Jiang,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,West,California,Torrance,2013-12-15,2013-12-17,9,89892,34.65,35.35
Not Specified,27.48,4.0,1657,Janet Carroll,Express Air,Small Business,Technology,Computer Peripherals,Small Box,Belkin MediaBoard 104- Keyboard,East,Pennsylvania,McKeesport,2011-06-13,2011-06-14,4,89065,109.92,113.92
Not Specified,18.97,9.03,1657,Janet Carroll,Regular Air,Small Business,Office Supplies,Paper,Small Box,Computer Printout Paper with Letter-Trim Perforations,East,Pennsylvania,McKeesport,2011-06-13,2011-06-15,11,89065,208.67,217.7
Not Specified,89.99,42.0,1657,Janet Carroll,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Leather Task Chair, Black",East,Pennsylvania,McKeesport,2011-07-30,2011-02-08,3,89066,269.96999999999997,311.96999999999997
Not Specified,7.28,7.98,1657,Janet Carroll,Regular Air,Small Business,Furniture,Office Furnishings,Wrap Bag,"Master Caster Door Stop, Large Neon Orange",East,Pennsylvania,McKeesport,2011-07-30,2011-07-31,14,89066,101.92,109.9
Medium,160.98,30.0,1657,Janet Carroll,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,East,Pennsylvania,McKeesport,2011-10-14,2011-10-16,1,89067,160.98,190.98
Low,39.98,4.0,1657,Janet Carroll,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Microsoft Natural Keyboard Elite,East,Pennsylvania,McKeesport,2012-06-28,2012-03-07,6,89068,239.88,243.88
High,5.98,4.69,1657,Janet Carroll,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",East,Pennsylvania,McKeesport,2013-01-01,2013-02-01,9,89069,53.82000000000001,58.510000000000005
Low,100.8,60.0,1658,Jim Mathews,Delivery Truck,Small Business,Furniture,Tables,Jumbo Drum,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",West,Wyoming,Laramie,2012-06-28,2012-03-07,20,89068,2016.0,2076.0
High,4.13,5.04,1658,Jim Mathews,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"ACCOHIDE® 3-Ring Binder, Blue, 1""",West,Wyoming,Laramie,2013-04-28,2013-04-29,9,89070,37.17,42.21
High,82.99,5.5,1658,Jim Mathews,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",West,Wyoming,Laramie,2013-04-28,2013-04-30,8,89070,663.92,669.42
Not Specified,6.3,0.5,1660,Keith Liu Duncan,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 48,Central,Texas,Mesquite,2011-02-24,2011-02-25,5,90127,31.5,32.0
Not Specified,6.48,7.03,1660,Keith Liu Duncan,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 214,Central,Texas,Mesquite,2011-02-24,2011-02-25,4,90127,25.92,32.95
Low,40.97,8.99,1660,Keith Liu Duncan,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Small Pack,Sanford 52201 APSCO Electric Pencil Sharpener,Central,Texas,Mesquite,2011-10-23,2011-10-30,21,90128,860.37,869.36
High,98.31,0.49,1660,Keith Liu Duncan,Express Air,Small Business,Office Supplies,Labels,Small Box,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Central,Texas,Mesquite,2012-02-18,2012-02-20,8,90129,786.48,786.97
Low,152.48,6.5,1660,Keith Liu Duncan,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Adesso Programmable 142-Key Keyboard,Central,Texas,Mesquite,2013-06-18,2013-06-20,12,90130,1829.7599999999998,1836.2599999999998
High,4.37,5.15,1662,James Brennan,Regular Air,Home Office,Office Supplies,Appliances,Small Box,"Eureka Sanitaire ® Multi-Pro Heavy-Duty Upright, Disposable Bags",West,California,Palm Springs,2011-07-17,2011-07-19,13,89274,56.81,61.96
High,19.84,4.1,1662,James Brennan,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Prismacolor Color Pencil Set,West,California,Palm Springs,2011-07-17,2011-07-19,8,89274,158.72,162.82
Critical,6.24,5.22,1662,James Brennan,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,Eldon Expressions Mahogany Wood Desk Collection,West,California,Palm Springs,2013-02-24,2013-02-26,11,89276,68.64,73.86
Critical,88.84,20.79,1663,Ruby Tate,Regular Air,Home Office,Furniture,Office Furnishings,Large Box,Luxo Adjustable Task Clamp Lamp,South,Florida,Palm Beach Gardens,2013-04-01,2013-04-01,10,89275,888.4000000000001,909.19
Critical,90.97,28.0,1663,Ruby Tate,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,Lexmark Z55se Color Inkjet Printer,South,Florida,Palm Beach Gardens,2013-04-01,2013-07-01,1,89275,90.97,118.97
Not Specified,6.48,10.05,1663,Ruby Tate,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1997,South,Florida,Palm Beach Gardens,2013-10-31,2013-01-11,13,89277,84.24000000000001,94.29
High,3.6,2.2,1665,Elsie Pridgen,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",West,California,Laguna Hills,2010-02-26,2010-02-27,2,90678,7.2,9.4
Low,85.99,0.99,1665,Elsie Pridgen,Regular Air,Consumer,Technology,Telephones and Communication,Wrap Bag,Accessory34,West,California,Laguna Hills,2011-01-23,2011-01-02,3,90679,257.96999999999997,258.96
Medium,1938.02,13.99,1665,Elsie Pridgen,Regular Air,Consumer,Technology,Office Machines,Medium Box,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,West,California,Laguna Hills,2013-03-01,2013-04-01,1,90680,1938.02,1952.01
Low,4.91,0.5,1665,Elsie Pridgen,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 508,West,California,Laguna Hills,2013-07-01,2013-09-01,6,90681,29.46,29.96
Medium,150.98,66.27,1665,Elsie Pridgen,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,Bush Mission Pointe Library,West,California,Laguna Hills,2013-03-27,2013-03-28,9,90682,1358.82,1425.09
Critical,21.38,8.99,1665,Elsie Pridgen,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,West,California,Laguna Hills,2013-10-22,2013-10-24,23,90683,491.73999999999995,500.72999999999996
Critical,140.98,36.09,1665,Elsie Pridgen,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,"Sauder Forest Hills Library, Woodland Oak Finish",West,California,Laguna Hills,2013-12-16,2013-12-17,8,90684,1127.84,1163.9299999999998
Not Specified,258.98,54.31,1667,Brad Pearce,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Global Enterprise™ Series Seating Low-Back Swivel/Tilt Chairs,South,Florida,Deland,2012-01-21,2012-01-22,1,89476,258.98,313.29
Medium,48.04,5.09,1667,Brad Pearce,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1910,South,Florida,Deland,2013-02-27,2013-02-03,8,89477,384.32,389.40999999999997
Medium,65.99,5.26,1667,Brad Pearce,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,8860,South,Florida,Deland,2013-11-27,2013-11-29,41,89480,2705.5899999999997,2710.85
High,387.99,19.99,1668,Marian Anthony,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Fellowes PB300 Plastic Comb Binding Machine,South,Florida,Delray Beach,2013-04-13,2013-04-15,11,89478,4267.89,4287.88
High,18.99,5.23,1668,Marian Anthony,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Poly Designer Cover & Back,South,Florida,Delray Beach,2013-04-13,2013-04-15,12,89478,227.88,233.10999999999999
High,124.49,51.94,1668,Marian Anthony,Delivery Truck,Consumer,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,South,Florida,Delray Beach,2013-04-13,2013-04-15,10,89478,1244.8999999999999,1296.84
Low,10.89,4.5,1668,Marian Anthony,Regular Air,Consumer,Office Supplies,Appliances,Small Box,Belkin 6 Outlet Metallic Surge Strip,South,Florida,Delray Beach,2013-08-10,2013-10-13,4,89479,43.56,48.06
Low,35.41,1.99,1670,Carolyn Bowling,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,Imation DVD-RAM discs,South,Virginia,Blacksburg,2010-04-24,2010-04-26,10,86722,354.09999999999997,356.09
Low,142.86,19.99,1670,Carolyn Bowling,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Letter Size Cart,South,Virginia,Blacksburg,2010-04-24,2010-03-05,11,86722,1571.46,1591.45
Medium,195.99,8.99,1670,Carolyn Bowling,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,T28 WORLD,South,Virginia,Blacksburg,2011-04-25,2011-04-26,1,86726,195.99,204.98000000000002
Medium,110.99,8.99,1670,Carolyn Bowling,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,LX 677,South,Virginia,Blacksburg,2013-01-10,2013-04-10,8,86732,887.92,896.91
Low,4.13,0.99,1671,Mitchell Ross,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 491,South,Virginia,Burke,2010-09-08,2010-08-13,13,86724,53.69,54.68
Critical,223.98,15.01,1671,Mitchell Ross,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC DocuBind TL200 Manual Binding Machine,South,Virginia,Burke,2010-12-11,2010-11-13,21,86725,4703.58,4718.59
Critical,142.86,19.99,1671,Mitchell Ross,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Letter Size Cart,South,Virginia,Burke,2013-01-30,2013-01-31,6,86728,857.1600000000001,877.1500000000001
High,115.79,1.99,1671,Mitchell Ross,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",South,Virginia,Burke,2013-01-08,2013-03-08,21,86730,2431.59,2433.58
Low,284.98,69.55,1672,Sidney Scarborough,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Global Commerce™ Series High-Back Swivel/Tilt Chairs,South,Virginia,Charlottesville,2010-07-06,2010-12-06,3,86723,854.94,924.49
Low,55.48,14.3,1672,Sidney Scarborough,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 194,South,Virginia,Charlottesville,2010-07-06,2010-09-06,17,86723,943.16,957.4599999999999
High,5.78,7.64,1672,Sidney Scarborough,Regular Air,Small Business,Office Supplies,Paper,Small Box,HP Office Recycled Paper (20Lb. and 87 Bright),South,Virginia,Charlottesville,2013-04-13,2013-04-15,1,86729,5.78,13.42
High,5.28,5.66,1672,Sidney Scarborough,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),South,Virginia,Charlottesville,2013-04-13,2013-04-14,9,86729,47.52,53.18000000000001
High,65.99,4.2,1672,Sidney Scarborough,Express Air,Small Business,Technology,Telephones and Communication,Small Box,5170,South,Virginia,Charlottesville,2013-06-08,2013-08-08,24,86731,1583.7599999999998,1587.9599999999998
Not Specified,13.73,6.85,1672,Sidney Scarborough,Regular Air,Small Business,Furniture,Office Furnishings,Wrap Bag,DAX Wood Document Frame.,South,Virginia,Charlottesville,2013-12-30,2013-12-30,23,86733,315.79,322.64000000000004
Not Specified,15.67,1.3900000000000001,1673,Robert Li,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"#10 White Business Envelopes,4 1/8 x 9 1/2",South,Virginia,Chesapeake,2011-06-17,2011-06-19,14,86727,219.38,220.76999999999998
Low,3.8,1.49,1675,Elizabeth Herman,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Durable Pressboard Binders,Central,Kansas,Newton,2012-04-13,2012-04-18,6,89491,22.799999999999997,24.289999999999996
Low,300.98,64.73,1675,Elizabeth Herman,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Leather and Oak Executive Chair, Black",Central,Kansas,Newton,2012-04-13,2012-04-15,10,89491,3009.8,3074.53
High,20.97,4.0,1675,Elizabeth Herman,Express Air,Small Business,Technology,Computer Peripherals,Small Box,Microsoft Internet Keyboard,Central,Kansas,Newton,2013-10-26,2013-10-29,22,89496,461.34,465.34
Not Specified,35.44,19.99,1676,Terry Langston,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1880,West,Washington,Cottage Lake,2012-08-04,2012-08-04,9,89490,318.96,338.95
High,71.37,69.0,1676,Terry Langston,Regular Air,Small Business,Furniture,Tables,Large Box,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",West,Washington,Cottage Lake,2013-03-30,2013-01-04,9,89493,642.33,711.33
Medium,83.93,19.99,1676,Terry Langston,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Airmail Envelopes,West,Washington,Cottage Lake,2013-04-17,2013-04-18,1,89494,83.93,103.92
Critical,6.48,6.22,1676,Terry Langston,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1894,West,Washington,Cottage Lake,2013-04-08,2013-06-08,2,89495,12.96,19.18
Critical,35.99,1.25,1676,Terry Langston,Regular Air,Small Business,Technology,Telephones and Communication,Small Pack,Accessory13,West,Washington,Cottage Lake,2013-04-08,2013-06-08,24,89495,863.76,865.01
Critical,4.18,6.92,1677,Benjamin Bates,Express Air,Small Business,Furniture,Office Furnishings,Small Box,"Eldon® Image Series Desk Accessories, Burgundy",East,West Virginia,Beckley,2012-07-25,2012-07-27,7,89492,29.259999999999998,36.18
Critical,34.58,8.99,1677,Benjamin Bates,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Small Pack,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,East,West Virginia,Beckley,2012-07-25,2012-07-28,14,89492,484.12,493.11
High,10.97,6.5,1677,Benjamin Bates,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Micro Innovations 104 Keyboard,East,West Virginia,Beckley,2013-10-26,2013-10-28,5,89496,54.85,61.35
High,145.45,17.85,1677,Benjamin Bates,Delivery Truck,Small Business,Technology,Office Machines,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,East,West Virginia,Beckley,2013-10-26,2013-10-28,7,89496,1018.1499999999999,1035.9999999999998
Medium,13.73,6.85,1679,Jeanne Nguyen,Regular Air,Consumer,Furniture,Office Furnishings,Wrap Bag,DAX Wood Document Frame.,East,Ohio,Fairborn,2010-09-20,2010-09-21,21,86646,288.33,295.18
Medium,140.85,19.99,1679,Jeanne Nguyen,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",East,Ohio,Fairborn,2011-07-11,2011-08-11,30,86647,4225.5,4245.49
Critical,115.99,2.5,1679,Jeanne Nguyen,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,6162m,East,Ohio,Fairborn,2013-04-24,2013-04-24,12,86651,1391.8799999999999,1394.3799999999999
Low,30.98,19.51,1680,Esther Whitaker,Regular Air,Consumer,Office Supplies,Envelopes,Small Box,Staples Colored Interoffice Envelopes,East,Ohio,Fairfield,2010-03-05,2010-05-05,18,86645,557.64,577.15
Low,49.34,10.25,1680,Esther Whitaker,Regular Air,Consumer,Furniture,Office Furnishings,Large Box,Electrix Fluorescent Magnifier Lamps & Weighted Base,East,Ohio,Fairfield,2010-03-05,2010-05-05,17,86645,838.7800000000001,849.0300000000001
Critical,65.99,3.99,1680,Esther Whitaker,Express Air,Consumer,Technology,Telephones and Communication,Small Box,StarTAC 7760,East,Ohio,Fairfield,2012-07-18,2012-07-20,13,86649,857.8699999999999,861.8599999999999
Critical,4.98,6.07,1680,Esther Whitaker,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1897,East,Ohio,Fairfield,2013-06-03,2013-08-03,1,86650,4.98,11.05
Critical,6.08,1.82,1680,Esther Whitaker,Regular Air,Consumer,Office Supplies,Rubber Bands,Wrap Bag,Staples Bulk Pack Metal Binder Clips,East,Ohio,Fairfield,2013-04-24,2013-04-26,13,86651,79.04,80.86
Low,30.98,6.5,1680,Esther Whitaker,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Logitech Internet Navigator Keyboard,East,Ohio,Fairfield,2013-07-20,2013-07-24,13,86652,402.74,409.24
Low,13.79,8.78,1680,Esther Whitaker,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,9-3/4 Diameter Round Wall Clock,East,Ohio,Fairfield,2013-07-20,2013-07-20,2,86652,27.58,36.36
Critical,60.98,49.0,1680,Esther Whitaker,Express Air,Consumer,Office Supplies,Appliances,Large Box,Euro Pro Shark Stick Mini Vacuum,East,Ohio,Fairfield,2013-09-11,2013-10-11,23,86653,1402.54,1451.54
High,11.97,4.98,1681,Shawn Dunn,Regular Air,Consumer,Office Supplies,Appliances,Small Box,Staples 6 Outlet Surge,East,Ohio,Findlay,2012-07-07,2012-09-07,1,86648,11.97,16.950000000000003
High,5.74,5.01,1681,Shawn Dunn,Express Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Binder Posts,East,Ohio,Findlay,2012-07-07,2012-09-07,11,86648,63.14,68.15
Not Specified,6.28,5.41,1682,Julie Edwards,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,Eldon® 200 Class™ Desk Accessories,Central,Illinois,Chicago,2010-08-14,2010-08-16,43,14115,270.04,275.45000000000005
Not Specified,4.98,4.7,1682,Julie Edwards,Regular Air,Consumer,Office Supplies,Paper,Small Box,Staples Copy Paper (20Lb. and 84 Bright),Central,Illinois,Chicago,2010-09-14,2010-09-15,47,38080,234.06000000000003,238.76000000000002
Not Specified,13.43,5.5,1682,Julie Edwards,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,"Fellowes Personal Hanging Folder Files, Navy",Central,Illinois,Chicago,2011-11-05,2011-12-05,49,56710,658.0699999999999,663.5699999999999
Not Specified,65.99,3.99,1682,Julie Edwards,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,StarTAC 7760,Central,Illinois,Chicago,2011-11-05,2011-12-05,23,56710,1517.77,1521.76
Not Specified,30.98,6.5,1682,Julie Edwards,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Belkin ErgoBoard™ Keyboard,Central,Illinois,Chicago,2011-11-05,2011-05-13,9,56710,278.82,285.32
Not Specified,35.41,1.99,1682,Julie Edwards,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,Imation DVD-RAM discs,Central,Illinois,Chicago,2011-11-05,2011-05-13,30,56710,1062.3,1064.29
Not Specified,43.98,1.99,1682,Julie Edwards,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"Memorex 80 Minute CD-R Spindle, 100/Pack",Central,Illinois,Chicago,2011-10-13,2011-10-15,40,13440,1759.1999999999998,1761.1899999999998
Not Specified,85.99,10.78,1682,Julie Edwards,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,3395,Central,Illinois,Chicago,2013-08-14,2013-08-16,92,14115,7911.08,7921.86
Critical,40.98,5.33,1682,Julie Edwards,Regular Air,Consumer,Office Supplies,Appliances,Small Box,Belkin 8 Outlet Surge Protector,Central,Illinois,Chicago,2013-10-12,2013-12-12,24,59685,983.52,988.85
Critical,12.99,14.37,1682,Julie Edwards,Regular Air,Consumer,Furniture,Office Furnishings,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Central,Illinois,Chicago,2013-10-12,2013-11-12,92,59685,1195.08,1209.4499999999998
Not Specified,6.28,5.41,1683,Wesley Corbett,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,Eldon® 200 Class™ Desk Accessories,Central,Texas,Conroe,2010-08-14,2010-08-16,11,90612,69.08,74.49
Not Specified,4.98,4.7,1683,Wesley Corbett,Regular Air,Consumer,Office Supplies,Paper,Small Box,Staples Copy Paper (20Lb. and 84 Bright),Central,Texas,Conroe,2010-09-14,2010-09-15,12,90613,59.760000000000005,64.46000000000001
Not Specified,43.98,1.99,1683,Wesley Corbett,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"Memorex 80 Minute CD-R Spindle, 100/Pack",Central,Texas,Conroe,2011-10-13,2011-10-15,10,90615,439.79999999999995,441.78999999999996
Not Specified,13.43,5.5,1683,Wesley Corbett,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,"Fellowes Personal Hanging Folder Files, Navy",Central,Texas,Conroe,2013-11-05,2013-12-05,11,90616,147.73,153.23
Not Specified,65.99,3.99,1683,Wesley Corbett,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,StarTAC 7760,Central,Texas,Conroe,2013-11-05,2013-12-05,5,90616,329.95,333.94
Not Specified,85.99,10.78,1683,Wesley Corbett,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,3395,Central,Texas,Conroe,2013-08-14,2013-08-16,23,90617,1977.77,1988.55
Not Specified,35.41,1.99,1684,Glenda Holder,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,Imation DVD-RAM discs,Central,Texas,Coppell,2011-11-05,2011-05-13,8,90614,283.28,285.27
